Year,CONUS
1950,1.66
1951,3.77
1952,5.35
1953,3.92
1954,4.93
1955,3.13
1956,2.77
1957,2.99
1958,3.42
1959,2.63
1960,2.83
1961,1.85
1962,2.61
1963,3.12
1964,3.34
1965,1.88
1966,3.35
1967,2.21
1968,2.38
1969,4.66
1970,3.94
1971,2.44
1972,2.48
1973,2.64
1974,2.32
1975,2.04
1976,1.41
1977,4.1
1978,4.23
1979,2.89
1980,7.09
1981,4.84
1982,3.14
1983,4.45
1984,2.6
1985,2.79
1986,3.67
1987,3.87
1988,4.69
1989,2.83
1990,3.74
1991,3.11
1992,2.4
1993,4.35
1994,2.98
1995,5.34
1996,3.61
1997,3.79
1998,6.93
1999,5.34
2000,4.73
2001,4.98
2002,4.5
2003,4.04
2004,3.05
2005,5.03
2006,5.73
2007,4.71
2008,4.17
2009,4.55
2010,9.5
2011,8.83
2012,6.53
2013,4.42
2014,3.96
2015,5.72
2016,7.34
2017,5.2
2018,6.93
2019,6.78
2020,6.66
2021,6.05
2022,8.1
2023,7.63
2024,8.98
